id,game,platform,campaigncoop,lancoop,offlinecoop,offlinecoopmax,offlinemax,onlinecoop,onlinecoopmax,onlinemax,splitscreen,splitscreenonline,dropin
2,977,6,1,0,0,0,0,1,4,0,0,,0
2,134150,6,0,0,0,,8,0,,8,0,,0
2,23667,5,1,0,1,4,0,0,0,0,1,,0
2,1510,5,0,0,1,2,0,0,0,0,1,,1
2,25647,6,1,1,0,0,0,1,5,0,0,,0
2,5807,12,0,0,1,2,0,0,0,0,1,,0
2,136097,,0,0,0,,1,0,,4,0,,0
2,136099,49,1,0,0,,,1,12,12,0,,1
2,132156,6,1,0,0,,,1,12,12,0,,1
2,136101,49,1,0,0,,,1,12,12,0,,1
2,132155,6,1,0,0,,,1,12,12,0,,1
2,136105,6,1,0,0,,,1,12,12,0,,1
2,136107,130,1,0,0,,,1,12,12,0,,1
2,67201,130,1,0,0,,,1,12,12,0,,1
2,58169,23,0,0,0,,2,0,,2,0,,1
2,116647,48,0,0,1,4,4,0,0,2,0,,0
2,20240,5,1,0,1,2,0,0,0,0,0,,0
2,48274,18,0,0,0,,2,0,,,0,,0
2,26166,6,1,0,0,0,0,1,4,0,0,,0
2,9123,46,0,0,0,0,0,1,4,0,1,,1
2,24050,34,0,0,1,8,,0,,,1,,1
2,120569,6,0,0,0,,,0,,,0,,0
2,68792,6,0,0,1,8,8,0,,,1,,0
2,23379,49,0,0,0,0,2,0,0,2,0,,0
2,2628,21,0,0,0,,,0,,,0,,0
2,12301,14,0,0,1,2,,0,,,1,,0
2,15418,6,1,1,0,0,0,1,2,0,0,,0
2,45037,7,0,1,0,2,,0,,4,1,,0
2,7306,6,1,1,1,2,0,1,4,0,0,,1
2,19807,9,1,0,1,2,0,1,2,0,0,,0
2,47424,6,1,0,1,4,0,0,0,0,0,,0
2,1021,12,1,1,1,2,12,1,4,12,1,,1
2,11697,38,0,1,0,0,0,0,0,0,0,,0
2,1352,9,1,0,0,0,0,1,2,0,0,,1
2,18840,39,1,1,0,0,0,0,0,0,0,,1
2,8633,9,1,0,1,2,0,1,2,0,0,,1
2,107110,,0,0,1,,,0,,,0,,0
2,114455,6,0,0,0,,,1,,,0,,0
2,100004,9,0,0,1,4,4,1,2,4,1,,0
2,136099,6,1,0,0,,,1,12,12,0,,1
2,6404,6,1,1,1,2,0,1,8,0,0,,0
2,136101,6,1,0,0,,,1,12,12,0,,1
2,10550,6,1,0,0,0,0,1,16,0,0,,1
2,7467,9,0,0,1,2,0,0,0,0,0,,0
2,8908,19,0,0,0,,,0,,,0,,0
2,132155,49,1,0,0,,,1,12,12,0,,1
2,20239,9,1,0,1,2,0,0,0,0,0,,1
2,136103,6,1,0,0,,,1,12,12,0,,1
2,10017,12,0,0,1,2,0,0,0,0,1,,0
2,117958,55,0,0,0,,,0,,,0,,0
2,136102,6,1,1,0,,,1,8,8,0,,1
2,136104,46,1,0,0,,,1,12,12,0,,1
2,5313,12,0,0,0,0,0,1,2,0,1,,0
2,136105,48,1,0,0,,,1,12,12,0,,1
2,136105,46,1,0,0,,,1,12,12,0,,1
2,136106,48,1,0,1,,,0,12,12,0,,1
2,110398,12,0,0,0,,4,0,,12,1,,1
2,6834,9,1,1,1,2,0,1,2,0,1,,0
2,136106,46,1,0,1,,,0,12,12,0,,1
2,136107,48,1,0,0,,,1,12,12,0,,1
2,5585,12,1,0,1,2,0,1,4,0,1,,0
2,20238,12,1,0,1,6,0,0,0,0,0,,1
2,1443,37,0,1,0,0,0,0,0,0,0,,0
2,22099,14,0,1,0,,,1,32,32,0,,1
2,28368,41,1,0,1,2,0,1,2,0,1,,0
2,1853,12,1,1,1,2,0,1,4,0,1,,0
2,7243,8,1,0,1,2,0,0,0,0,1,,0
2,136107,6,1,0,0,,,1,12,12,0,,1
2,5294,12,0,0,1,3,0,0,0,0,0,,0
2,5498,9,1,0,1,4,0,0,0,0,0,,0
2,1981,6,1,1,0,0,0,1,2,0,0,,1
2,22226,9,1,0,1,2,0,0,0,0,0,,1
2,20610,20,0,0,1,2,1,0,,,0,,0
2,7846,,0,0,1,0,0,1,0,0,0,,0
2,135376,7,0,0,0,,2,0,,,0,,0
2,89900,37,1,1,0,4,4,1,4,4,0,,1
2,3839,82,0,0,0,0,0,1,0,0,0,,0
2,137324,130,0,0,0,2,,1,,,0,,0
2,7243,12,1,0,1,2,0,0,0,0,1,,0
2,20420,9,0,0,1,4,0,1,4,0,0,,0
2,6994,12,1,0,1,2,0,1,2,0,1,,1
2,16279,6,1,1,0,0,0,1,4,0,0,,1
2,6440,37,0,1,0,0,0,1,4,0,0,,1
2,137325,48,1,0,1,2,2,0,,,0,,0
2,138906,6,0,0,0,,,0,,,0,,0
2,18179,6,1,0,0,0,0,1,3,0,0,,1
2,5295,12,0,0,1,2,0,0,0,0,0,,0
2,131883,6,0,0,0,,,0,,,0,,0
2,117621,,1,0,0,,2,0,,,0,,0
2,132636,48,0,0,0,,,0,,,0,,0
2,56017,14,1,0,1,4,4,0,,,1,,1
